Country,Women paliamentarians,[YEAR] Women paliamentarians
DZA,25.8,2019.0
EGY,14.9,2019.0
ETH,38.8,2019.0
GHA,12.7,2019.0
MOZ,39.6,2019.0
NGA,5.6,2019.0
ZAF,42.1,2019.0
SDN,30.5,2019.0
TZA,37.2,2019.0
ZMB,18.0,2019.0
AGO,30.5,2019.0
BEN,7.2,2019.0
BWA,9.5,2019.0
BFA,11.0,2019.0
BDI,36.4,2019.0
CMR,31.1,2019.0
CAF,8.6,2019.0
TCD,12.8,2019.0
COG,11.3,2019.0
CIV,10.6,2019.0
COD,8.9,2019.0
GNQ,20.0,2019.0
ERI,22.0,2019.0
GAB,17.1,2019.0
GMB,10.3,2019.0
GIN,21.9,2019.0
GNB,13.7,2019.0
KEN,21.8,2019.0
LSO,22.1,2019.0
LBR,9.9,2019.0
LBY,16.0,2019.0
MDG,19.2,2019.0
MWI,16.7,2019.0
MLI,8.8,2019.0
MRT,25.2,2019.0
MUS,11.6,2019.0
MAR,20.5,2019.0
NAM,41.3,2019.0
NER,17.0,2019.0
RWA,61.3,2019.0
SEN,41.8,2019.0
SLE,12.4,2019.0
SOM,24.4,2019.0
SWZ,6.2,2019.0
TGO,17.6,2019.0
TUN,31.3,2019.0
UGA,34.3,2019.0
ZWE,32.6,2019.0
